Atomic Number,Oxidation State,Coordination Number,Shannon,ML Mean,ML Standard Deviation
83,3,10,,128.2,0.83
83,3,11,,133.2,0.87
83,3,12,,138.01,0.97
83,5,2,,43.02,1.75
83,5,4,,60.21,1.05
83,5,5,,68.16,1.04
83,5,6,76,75.52,1.11
83,5,8,,88.75,1.2
84,4,6,94,94.11,0.37
84,4,8,108,108.08,0.44
84,6,6,67,67.4,1
85,7,6,62,61.79,0.89
87,1,6,180,179.84,0.75
88,2,8,148,147.19,2.21
88,2,12,170,169.9,0.64
89,3,6,112,111.29,1.11
89,3,8,,124.52,0.93
90,3,12,,140.54,0.46
90,4,4,,80.33,0.93
90,4,5,,86.84,0.64
90,4,6,94,93.45,0.49
90,4,7,,99.55,0.39
90,4,8,105,104.48,0.41
90,4,9,109,109.03,0.15
90,4,10,113,113.25,0.29
90,4,11,118,117.72,0.35
90,4,12,121,121.21,0.4
91,3,6,104,104.6,0.35
91,4,6,90,90.73,0.29
91,4,8,101,101.79,0.28
91,5,6,78,77.89,0.14
91,5,8,91,90.99,0.13
91,5,9,95,95.16,0.33
92,3,6,102.5,102.44,0.2
92,4,6,89,88.69,0.18
92,4,7,95,94.84,0.18
92,4,8,100,99.69,0.17
92,4,9,105,104.75,0.29
92,4,12,117,117.04,0.27
92,5,2,,52.36,1.67
92,5,5,,68.57,0.4
92,5,6,76,76.25,0.11
92,5,7,84,83.87,0.18
92,5,8,,89.44,0.15
92,6,2,45,44.58,1.92
92,6,3,,47.66,1.7
92,6,4,52,52.97,2.06
92,6,5,,62.42,1.19
92,6,6,73,72.92,0.18
92,6,7,81,80.93,0.22
92,6,8,86,86.21,0.46
93,2,6,110,110.67,1.96
93,3,6,101,100.87,0.17
93,4,6,87,87.14,0.1
93,4,8,98,97.88,0.11
93,5,2,,51.05,1.66
93,5,5,,67.29,0.37
93,5,6,75,74.97,0.07
93,5,7,,82.48,0.19
93,5,8,,88.05,0.18
93,6,2,,43.46,1.9
93,6,5,,61.5,1.11
93,6,6,72,71.94,0.12
93,6,7,,79.88,0.25
93,6,8,,85.14,0.47
93,7,6,71,70.54,1.22
94,3,4,,85.14,1.49
94,3,5,,91.99,0.72
94,3,6,100,99.44,0.21
94,3,8,,110.95,0.54
94,4,6,86,86.02,0.07
94,4,7,,91.72,0.17
94,4,8,96,96.35,0.13
94,5,2,,49.89,1.65
94,5,6,74,73.95,0.08
94,5,8,,86.81,0.22
94,6,2,,42.43,1.87
94,6,6,71,70.96,0.13
94,6,8,,84.12,0.48
95,2,7,121,120.13,1.28
95,2,8,126,126.27,0.68
95,2,9,131,131.27,0.89
95,3,6,97.5,98.01,0.19
95,3,8,109,109.24,0.55
95,4,6,85,85.18,0.14
95,4,8,95,95.25,0.16
96,3,6,97,96.87,0.12
96,4,6,85,84.37,0.2
96,4,8,95,94.34,0.22
97,3,6,96,95.92,0.07
97,4,6,83,83.28,0.2
97,4,8,93,93.23,0.2
98,3,6,95,95.09,0.1
98,4,6,82.1,82.18,0.24
98,4,8,92,92.11,0.23
102,2,6,110,109.4,1.62
